w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,w_tract,h_tract,h_county
060014005001000,060014046002004,1,0,0,1,0,0,1,0,0,1,20230321,06001400500,06001404600,06001
060014005001000,060014203011000,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001420301,06001
060014005001000,060133390031020,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06013339003,06013
060014005001000,060133591021004,1,0,0,1,0,1,0,0,0,1,20230321,06001400500,06013359102,06013
060014005001000,060816037002001,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06081603700,06081
060014005001001,060014006001005,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001400600,06001
060014005001003,060014005001014,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001003,060014005002000,1,0,1,0,0,0,1,0,0,1,20230321,06001400500,06001400500,06001
060014005001003,060014005003003,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001400500,06001
060014005001003,060014010006013,1,1,0,0,0,0,1,0,0,1,20230321,06001400500,06001401000,06001
060014005001003,060014015001016,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001401500,06001
060014005001003,060014016001001,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001401600,06001
060014005001003,060014036001000,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001403600,06001
060014005001003,060014037022001,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001403702,06001
060014005001003,060014037022002,1,0,1,0,0,1,0,0,1,0,20230321,06001400500,06001403702,06001
060014005001003,060014038001000,1,0,1,0,0,1,0,0,0,1,20230321,06001400500,06001403800,06001
060014005001003,060014042002006,1,1,0,0,0,1,0,0,0,1,20230321,06001400500,06001404200,06001
060014005001003,060014043001012,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001404300,06001
060014005001003,060014043002005,1,0,0,1,1,0,0,0,0,1,20230321,06001400500,06001404300,06001
060014005001003,060014043003018,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001404300,06001
060014005001003,060014044003007,1,0,0,1,1,0,0,0,1,0,20230321,06001400500,06001404400,06001
060014005001003,060014052003013,1,1,0,0,0,0,1,1,0,0,20230321,06001400500,06001405200,06001
060014005001003,060014059021021,1,0,1,0,1,0,0,0,0,1,20230321,06001400500,06001405902,06001
060014005001003,060014065002007,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001406500,06001
060014005001003,060014088001008,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001408800,06001
060014005001003,060014088001014,1,1,0,0,1,0,0,0,0,1,20230321,06001400500,06001408800,06001
